dataset,n_players,n_excerpts_per_player,iteration,accuracy,precision,recall,f1,kappa
bilbao,2,2,14,0.07692307692307693,0.019615384615384614,0.07179487179487179,0.03061521348506888,-0.006451612903225934
bilbao,2,3,0,0.16923076923076924,0.05523135867963454,0.15384615384615385,0.07156593406593406,0.09302325581395354
bilbao,2,3,1,0.24615384615384617,0.19215399984630752,0.24615384615384617,0.20116487455197132,0.18333333333333335
bilbao,2,3,2,0.13846153846153847,0.059516806722689074,0.1256410256410256,0.07598711210751344,0.0608875128998968
bilbao,2,3,3,0.15384615384615385,0.09736886207474443,0.16923076923076924,0.07958625328352374,0.08963585434173682
bilbao,2,3,4,0.1076923076923077,0.029234916027368853,0.10769230769230768,0.038903625110521665,0.03283735248845554
bilbao,2,3,5,0.1076923076923077,0.059987776451191084,0.1076923076923077,0.06660020581425265,0.033333333333333326
bilbao,2,3,6,0.09230769230769231,0.017774266811494025,0.08461538461538462,0.028494983277591975,0.012361576100952787
bilbao,2,3,7,0.23076923076923078,0.14268162393162392,0.2371794871794872,0.1525141525141525,0.17239623121976066
bilbao,2,3,8,0.15384615384615385,0.15407618697092382,0.15256410256410258,0.1168200745123822,0.0826276623043366
bilbao,2,3,9,0.15384615384615385,0.05860805860805861,0.13846153846153847,0.06925268463730003,0.0823921971252568
bilbao,2,3,10,0.16923076923076924,0.10382720727548313,0.15384615384615385,0.07066267066267065,0.0932575561870318
bilbao,2,3,11,0.16923076923076924,0.08113553113553114,0.158974358974359,0.08945868945868946,0.09512761020881666
bilbao,2,3,12,0.07692307692307693,0.10192307692307694,0.08076923076923077,0.06095669036845508,0.0020470829068577334
bilbao,2,3,13,0.16923076923076924,0.13381525217967113,0.16923076923076924,0.09830748961183744,0.09999999999999987
bilbao,2,3,14,0.12307692307692308,0.07842752485609629,0.12692307692307692,0.08251150558842867,0.050973360655737654
bilbao,2,5,0,0.18461538461538463,0.06025641025641026,0.1846153846153846,0.08747610183769933,0.11689310433222255
bilbao,2,5,1,0.27692307692307694,0.1871794871794872,0.27692307692307694,0.21050233291612602,0.2168674698795181
bilbao,2,5,2,0.18461538461538463,0.14472934472934473,0.18076923076923077,0.1423076923076923,0.11960132890365449
bilbao,2,5,3,0.18461538461538463,0.14068897503910766,0.1897435897435897,0.1091563407352881,0.12050038294613219
bilbao,2,5,4,0.16923076923076924,0.1407156945618484,0.16538461538461538,0.10480972019433558,0.10069177555726361
bilbao,2,5,5,0.26153846153846155,0.23071649315993203,0.27692307692307694,0.2025844525844526,0.20347204493234616
bilbao,2,5,6,0.16923076923076924,0.11470660749506903,0.17307692307692307,0.1185028421870527,0.10482019892884475
bilbao,2,5,7,0.18461538461538463,0.16224053724053725,0.18846153846153843,0.15703527241988782,0.12139760265238464
bilbao,2,5,8,0.16923076923076924,0.05626161278335191,0.1846153846153846,0.08381814264167205,0.10459183673469385
bilbao,2,5,9,0.24615384615384617,0.1562890812890813,0.24871794871794872,0.1833467814237045,0.18354268136375296
bilbao,2,5,10,0.35384615384615387,0.27971464019851117,0.3576923076923077,0.2785270285270285,0.2994611239414935
bilbao,2,5,11,0.13846153846153847,0.0687869822485207,0.14615384615384616,0.07754467754467755,0.07048008171603681
bilbao,2,5,12,0.2,0.13873626373626374,0.1846153846153846,0.14431748622730056,0.12976313079299695
bilbao,2,5,13,0.23076923076923078,0.18516096906189786,0.23461538461538464,0.1747802197802198,0.16666666666666663
bilbao,2,5,14,0.13846153846153847,0.07777777777777778,0.1564102564102564,0.08461538461538462,0.07567293042153389
bilbao,2,10,0,0.4307692307692308,0.48764568764568766,0.4217948717948718,0.4146353646353647,0.3814300411522634
bilbao,2,10,1,0.4153846153846154,0.33369963369963374,0.4243589743589743,0.35324675324675314,0.3666666666666667
