dataset,player_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,Céleste,Same Player,7,0.8888888888888888,0.9259259259259259,0.9047619047619048,0.9027777777777778,0.8285714285714285
cnsm,Céleste,Different Player,7,0.8397581254724111,0.8498200129954515,0.8355912855181843,0.8418205308902983,0.7493718121477055
cnsm,Céleste,Same Player,8,0.9444444444444444,0.9583333333333334,0.9523809523809524,0.9521367521367522,0.9142857142857143
cnsm,Céleste,Different Player,8,0.8956916099773242,0.9051325269133618,0.8839790587011321,0.8929184871824907,0.8364718021474865
cnsm,Céleste,Same Player,9,1.0,1.0,1.0,1.0,1.0
cnsm,Céleste,Different Player,9,0.8488284202569917,0.8734317812199012,0.8402548557794031,0.8528952925471976,0.7622812376468897
cnsm,SMD,Same Player,0,0.9583333333333334,0.9696969696969697,0.9333333333333332,0.947089947089947,0.9342465753424658
cnsm,SMD,Different Player,0,0.8638824439288476,0.8655115437568068,0.8703139765549803,0.8625644190006057,0.7896585445208328
cnsm,SMD,Same Player,1,0.9166666666666666,0.9,0.9,0.9,0.8702702702702703
cnsm,SMD,Different Player,1,0.88553750966744,0.8726756502372587,0.8916976724306603,0.8781925045995113,0.8242296429922955
cnsm,SMD,Same Player,2,0.9583333333333334,0.9444444444444445,0.9666666666666667,0.9521531100478469,0.9359999999999999
cnsm,SMD,Different Player,2,0.843000773395205,0.8411489700670106,0.8537094827471058,0.8411683765774848,0.7587243078280693
cnsm,SMD,Same Player,3,0.9583333333333334,0.9696969696969697,0.9333333333333332,0.947089947089947,0.9342465753424658
cnsm,SMD,Different Player,3,0.8638824439288476,0.8864554378613277,0.8608189184852622,0.8667442257265817,0.7872528195769887
cnsm,SMD,Same Player,4,1.0,1.0,1.0,1.0,1.0
cnsm,SMD,Different Player,4,0.843000773395205,0.8459724829554514,0.849753034567189,0.8415661517327068,0.7576357763754924
cnsm,SMD,Same Player,5,0.9583333333333334,0.9696969696969697,0.9333333333333332,0.947089947089947,0.9342465753424658
cnsm,SMD,Different Player,5,0.8615622583139985,0.8603441227577187,0.8662645970866362,0.8597803820157573,0.7859659538579339
cnsm,SMD,Same Player,6,0.9166666666666666,0.9393939393939394,0.9,0.9120857699805067,0.8692098092643052
cnsm,SMD,Different Player,6,0.91415313225058,0.9086638892016065,0.9081677207380855,0.908350167994767,0.8663679125823079
cnsm,SMD,Same Player,7,0.9583333333333334,0.9696969696969697,0.9333333333333332,0.947089947089947,0.9342465753424658
cnsm,SMD,Different Player,7,0.8414539829853055,0.8472544296600611,0.8485950684826727,0.8405808680537011,0.7551190660960955
