dataset,excerpt_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,glazounov,Different Excerpt,6,0.8293289146644574,0.8454715051092628,0.8021194692060369,0.8166546339532696,0.7301511158960379
cnsm,glazounov,Same Excerpt,7,0.926829268292683,0.9315789473684211,0.9333333333333332,0.9269005847953217,0.8869485294117647
cnsm,glazounov,Different Excerpt,7,0.7448218724109362,0.7765727380389035,0.7081190838826621,0.7222005556300024,0.5933484141117582
cnsm,glazounov,Same Excerpt,8,0.9512195121951219,0.9481481481481481,0.9555555555555556,0.9491228070175439,0.9247706422018349
cnsm,glazounov,Different Excerpt,8,0.752278376139188,0.7731516510205035,0.7144171454452292,0.7273059804254101,0.6056443452738689
cnsm,glazounov,Same Excerpt,9,0.975609756097561,0.9666666666666667,0.9803921568627452,0.9723551302498671,0.9625228519195612
cnsm,glazounov,Different Excerpt,9,0.7812758906379453,0.787973687623832,0.7665578544005985,0.7724531389935962,0.6567506312424056
cnsm,free,Same Excerpt,0,0.9444444444444444,0.9583333333333334,0.9583333333333334,0.9555555555555556,0.9113300492610837
cnsm,free,Different Excerpt,0,0.6871212121212121,0.7132770042673244,0.6554936791569484,0.6696478633505546,0.5028452615451959
cnsm,free,Same Excerpt,1,0.8888888888888888,0.8796296296296297,0.9047619047619048,0.8772175536881419,0.8243902439024391
cnsm,free,Different Excerpt,1,0.6515151515151515,0.6963957446178385,0.625082408209077,0.6415486680812632,0.44529607048174824
cnsm,free,Same Excerpt,2,0.8333333333333334,0.8777777777777778,0.7936507936507936,0.8193732193732194,0.7244897959183674
cnsm,free,Different Excerpt,2,0.7439393939393939,0.7607075223626948,0.7102973735610504,0.7228041875495035,0.5942509794506345
cnsm,free,Same Excerpt,3,0.8888888888888888,0.9259259259259259,0.8472222222222222,0.8694444444444445,0.8190954773869347
cnsm,free,Different Excerpt,3,0.7234848484848485,0.7608932967856378,0.6966527582602765,0.7112115223304297,0.5618566076170384
cnsm,free,Same Excerpt,4,0.7777777777777778,0.7925925925925926,0.8154761904761904,0.7669340463458111,0.6555023923444976
cnsm,free,Different Excerpt,4,0.7242424242424242,0.7377734593627978,0.6920511517216504,0.702909462716366,0.5640196430710265
cnsm,free,Same Excerpt,5,0.9444444444444444,0.9583333333333334,0.8888888888888888,0.9111111111111111,0.9090909090909091
cnsm,free,Different Excerpt,5,0.6606060606060606,0.7287336800511554,0.6173617300341353,0.6340037201466071,0.45398037741981356
cnsm,free,Same Excerpt,6,0.9444444444444444,0.9629629629629629,0.9523809523809524,0.9547511312217195,0.9104477611940298
cnsm,free,Different Excerpt,6,0.693939393939394,0.735381044509452,0.6597099011921421,0.6758714061046257,0.5120201458229627
cnsm,free,Same Excerpt,7,0.7222222222222222,0.8190476190476191,0.6468253968253967,0.6686274509803921,0.5384615384615385
cnsm,free,Different Excerpt,7,0.6992424242424242,0.7230014160945591,0.6413113562558742,0.6465022635331158,0.5159842318960517
cnsm,free,Same Excerpt,8,0.8333333333333334,0.8783068783068783,0.7996031746031745,0.8268907563025211,0.7258883248730965
cnsm,free,Different Excerpt,8,0.7454545454545455,0.7760719840257709,0.7142194989255742,0.7305400073718779,0.5957283125084314
cnsm,free,Same Excerpt,9,0.8333333333333334,0.8703703703703703,0.8630952380952381,0.8642533936651584,0.7313432835820896
cnsm,free,Different Excerpt,9,0.7909090909090909,0.821765627263053,0.7506196298598224,0.7657723657824288,0.6674971935492703
cnsm,sibelius2,Same Excerpt,0,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,0,0.727810650887574,0.751500903014466,0.7538344607222628,0.7217512304946897,0.5980176229249918
cnsm,sibelius2,Same Excerpt,1,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,1,0.8476331360946746,0.8406541470601763,0.823394057730935,0.8300454033806609,0.761089966125132
cnsm,sibelius2,Same Excerpt,2,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,2,0.8454142011834319,0.828014553014553,0.8326918049513102,0.8301524910825733,0.7603633797847945
cnsm,sibelius2,Same Excerpt,3,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,3,0.8247041420118343,0.8018022769508644,0.8032120148577618,0.8024801552344402,0.7276686305239861
cnsm,sibelius2,Same Excerpt,4,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,4,0.7596153846153846,0.7743396509564633,0.7799833348082207,0.7517639439809912,0.6426930567470757
cnsm,sibelius2,Same Excerpt,5,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,5,0.8173076923076923,0.8147921653381162,0.8323965792710117,0.8073819682246834,0.7254456706456316
cnsm,sibelius2,Same Excerpt,6,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,6,0.8350591715976331,0.8223188991573996,0.841822958173728,0.8240409908361999,0.7490853770177466
cnsm,sibelius2,Same Excerpt,7,0.9166666666666666,0.9444444444444445,0.8888888888888888,0.903030303030303,0.8695652173913044
cnsm,sibelius2,Different Excerpt,7,0.7707100591715976,0.7777110233588364,0.7324950719527784,0.7430079337614406,0.6371899359853879
cnsm,sibelius2,Same Excerpt,8,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,8,0.7359467455621301,0.7701222217497081,0.7652953276605818,0.7317147133497244,0.6121822582044796
cnsm,sibelius2,Same Excerpt,9,1.0,1.0,1.0,1.0,1.0
cnsm,sibelius2,Different Excerpt,9,0.8306213017751479,0.821099210077683,0.8422446559538965,0.8208501594321308,0.7435971332647623
cnsm,glazounov2,Same Excerpt,0,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,0,0.6353467561521253,0.7943623227520916,0.586566417146937,0.5929171888610042,0.4106098478413862
cnsm,glazounov2,Same Excerpt,1,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,1,0.6308724832214765,0.7705842697439337,0.5810810313482162,0.5841473047618718,0.4039229314497228
cnsm,glazounov2,Same Excerpt,2,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,2,0.6614466815809098,0.7964465784682419,0.6106294607478722,0.6203859238369492,0.4533877419094179
cnsm,glazounov2,Same Excerpt,3,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,3,0.6472781506338553,0.8044598289311963,0.5970957142471595,0.6054924043822648,0.429700839139336
cnsm,glazounov2,Same Excerpt,4,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,4,0.662938105891126,0.7883156629294645,0.6124261806797634,0.6222813719669515,0.45612972518997674
cnsm,glazounov2,Same Excerpt,5,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,5,0.6375838926174496,0.7845851349810314,0.5925164322358881,0.5996528540681787,0.41582768635043565
cnsm,glazounov2,Same Excerpt,6,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,6,0.6480238627889635,0.8005190038622697,0.5971294497071762,0.6050775297566552,0.4310354591568438
cnsm,glazounov2,Same Excerpt,7,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,7,0.656972408650261,0.8007359464326722,0.6057204912864375,0.615526526336538,0.44568004076119927
cnsm,glazounov2,Same Excerpt,8,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,8,0.6808351976137211,0.8052707245589318,0.6238017777974058,0.6344792275715124,0.4835898972394749
cnsm,glazounov2,Same Excerpt,9,1.0,1.0,1.0,1.0,1.0
cnsm,glazounov2,Different Excerpt,9,0.6375838926174496,0.7986495200466024,0.5931351712411951,0.6009473999016312,0.41546459159045224
villefavard2026,Bach,Same Excerpt,0,0.8888888888888888,0.9523809523809523,0.9285714285714286,0.9238095238095239,0.8676470588235294
villefavard2026,Bach,Different Excerpt,0,0.5925925925925926,0.7353024183236234,0.5911414263209707,0.5835056379004532,0.5251506579756487
villefavard2026,Bach,Same Excerpt,1,0.8888888888888888,0.8095238095238094,0.8571428571428571,0.8285714285714285,0.8656716417910448
villefavard2026,Bach,Different Excerpt,1,0.5299145299145299,0.687953684118949,0.5294647376819451,0.5142572139298526,0.45229899188591105
villefavard2026,Bach,Same Excerpt,2,0.8888888888888888,0.8095238095238094,0.8571428571428571,0.8285714285714285,0.8656716417910448
villefavard2026,Bach,Different Excerpt,2,0.5641025641025641,0.6659704025367869,0.5608615800597836,0.5273582929969548,0.4915836709963268
villefavard2026,Bach,Same Excerpt,3,0.8888888888888888,0.9285714285714286,0.9285714285714286,0.9047619047619048,0.8695652173913043
villefavard2026,Bach,Different Excerpt,3,0.5270655270655271,0.7336767479840743,0.524740898039992,0.5363246231949855,0.4488492863021084
villefavard2026,Bach,Same Excerpt,4,0.6666666666666666,0.5714285714285714,0.6428571428571429,0.5714285714285714,0.5970149253731343
villefavard2026,Bach,Different Excerpt,4,0.4985754985754986,0.6641404603014204,0.49678295531975747,0.4933221636824279,0.41520489979836617
villefavard2026,Bach,Same Excerpt,5,0.6666666666666666,0.4761904761904762,0.5714285714285714,0.5,0.6029411764705883
villefavard2026,Bach,Different Excerpt,5,0.5612535612535613,0.7075497646838536,0.5581321062179355,0.5525825152196702,0.4882170821537791
villefavard2026,Bach,Same Excerpt,6,0.8888888888888888,0.9523809523809523,0.9285714285714286,0.9238095238095239,0.8676470588235294
villefavard2026,Bach,Different Excerpt,6,0.5698005698005698,0.6685393740840194,0.5689005277558017,0.5567840840009389,0.4985097504896534
villefavard2026,Bach,Same Excerpt,7,1.0,1.0,1.0,1.0,1.0
villefavard2026,Bach,Different Excerpt,7,0.5897435897435898,0.7082377215267993,0.5886005078179692,0.5772248399315704,0.5218164616840113
villefavard2026,Bach,Same Excerpt,8,1.0,1.0,1.0,1.0,1.0
villefavard2026,Bach,Different Excerpt,8,0.6011396011396012,0.745139014746858,0.5997807117517933,0.5953923563615103,0.5350729464302609
villefavard2026,Bach,Same Excerpt,9,1.0,1.0,1.0,1.0,1.0
villefavard2026,Bach,Different Excerpt,9,0.5641025641025641,0.7324372731193217,0.5635104914513571,0.564949547503992,0.4921702127659574
villefavard2026,Mozart,Same Excerpt,0,0.7777777777777778,0.761904761904762,0.8571428571428571,0.7857142857142857,0.7428571428571429
villefavard2026,Mozart,Different Excerpt,0,0.4542857142857143,0.4311690338059506,0.4499757080937289,0.38114507199688863,0.3629753861693714
villefavard2026,Mozart,Same Excerpt,1,0.5555555555555556,0.5,0.5714285714285714,0.5238095238095238,0.47058823529411764
villefavard2026,Mozart,Different Excerpt,1,0.4942857142857143,0.5941258696766806,0.4884600327794398,0.46129835667176194,0.40907703460643297
villefavard2026,Mozart,Same Excerpt,2,0.5555555555555556,0.35714285714285715,0.5,0.39999999999999997,0.4626865671641791
villefavard2026,Mozart,Different Excerpt,2,0.4828571428571429,0.598195745408289,0.4763707701616827,0.42497508636744313,0.39479918988115714
villefavard2026,Mozart,Same Excerpt,3,0.7777777777777778,0.6428571428571429,0.7142857142857143,0.6666666666666666,0.7272727272727273
villefavard2026,Mozart,Different Excerpt,3,0.56,0.6222801620648261,0.5575944489344566,0.5155587871041756,0.4867057747981105
villefavard2026,Mozart,Same Excerpt,4,0.5555555555555556,0.4523809523809524,0.5714285714285714,0.49523809523809526,0.47058823529411764
villefavard2026,Mozart,Different Excerpt,4,0.49714285714285716,0.6412049103778427,0.4916314788407588,0.4491078424889404,0.41200614720846107
villefavard2026,Mozart,Same Excerpt,5,0.6666666666666666,0.6071428571428571,0.6428571428571429,0.5809523809523809,0.6086956521739131
villefavard2026,Mozart,Different Excerpt,5,0.4857142857142857,0.4657419383627587,0.4790759343339243,0.4140535245284059,0.3988721696897989
villefavard2026,Mozart,Same Excerpt,6,0.7777777777777778,0.7857142857142857,0.7857142857142857,0.7619047619047619,0.7313432835820896
villefavard2026,Mozart,Different Excerpt,6,0.5028571428571429,0.5047136643118787,0.49363024538034167,0.4303105307495828,0.41808800343987396
villefavard2026,Mozart,Same Excerpt,7,0.8888888888888888,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8676470588235294
villefavard2026,Mozart,Different Excerpt,7,0.5485714285714286,0.6308193101802123,0.5456841191794986,0.49955768734602446,0.4737593376790217
villefavard2026,Mozart,Same Excerpt,8,0.7777777777777778,0.5714285714285714,0.7142857142857143,0.619047619047619,0.7352941176470589
villefavard2026,Mozart,Different Excerpt,8,0.44571428571428573,0.44212939067099183,0.4364181727013841,0.3888499418721417,0.35066177033126755
villefavard2026,Mozart,Same Excerpt,9,0.8888888888888888,0.7857142857142857,0.8571428571428571,0.8095238095238094,0.8676470588235294
villefavard2026,Mozart,Different Excerpt,9,0.46,0.5235347662673243,0.45151486076495706,0.3840964587319493,0.3676270959600787
villefavard2026,Tchai,Same Excerpt,0,0.8,0.5952380952380951,0.7142857142857143,0.6380952380952382,0.7590361445783133
villefavard2026,Tchai,Different Excerpt,0,0.6122448979591837,0.6938905315391759,0.6061863043089576,0.5821774256406079,0.5469091414723293
villefavard2026,Tchai,Same Excerpt,1,1.0,1.0,1.0,1.0,1.0
villefavard2026,Tchai,Different Excerpt,1,0.5801749271137027,0.6419536708070542,0.5721002078643007,0.5214875599681391,0.509620539703342
villefavard2026,Tchai,Same Excerpt,2,1.0,1.0,1.0,1.0,1.0
villefavard2026,Tchai,Different Excerpt,2,0.5685131195335277,0.6590508723925067,0.5611587694855044,0.527844041859428,0.49573855170358594
